SIT:<name>;MET:<name>;CHN:<channelID>;CHN:<TspDataType>;CHN:<unit>
Energy Centre;Engine #1 Elec Output;sk-ele-101-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
8-15 Princes Gardens (inc Garden Hall);14-15PG inc boiler plant room;sk-nor-101-sip1.ad.ic.ac.uk_Device_5;Energy Consumption;kWh
Data Centre;40KVA UPS;sk-mec-104-sip2.ad.ic.ac.uk_Device_12;Energy Consumption;kWh
Data Centre;40KVA UPS SET A5;sk-mec-104-sip1.ad.ic.ac.uk_Device_5;Energy Consumption;kWh
8-15 Princes Gardens (inc Garden Hall);8-9 PG (EYEC);sk-nor-101-sip1.ad.ic.ac.uk_Device_10;Energy Consumption;kWh
RSM;ACB62 to Aston Webb Main Incomer;sk-bes-102-sip1.ad.ic.ac.uk_Device_46;Energy Consumption;kWh
RSM;ACB66 Supply to MPAC Panel;sk-bes-102-sip1.ad.ic.ac.uk_Device_47;Energy Consumption;kWh
ACE;ACE Chiller #1;sk-ace-101-sip2.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
ACE;ACE Chiller #2;sk-ace-101-sip2.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
Electrical Engineering;Transformer T10;sk-bes-104-sip2.ad.ic.ac.uk_Device_48;Energy Consumption;kWh
ACE;Transformer T11;sk-eyec-b-sip.ad.ic.ac.uk_Device_6;Energy Consumption;kWh
Flowers;Transformer T14;sk-bes-104-sip2.ad.ic.ac.uk_Device_63;Energy Consumption;kWh
Electrical Engineering;Transformer T17;sk-bes-104-sip2.ad.ic.ac.uk_Device_18;Energy Consumption;kWh
Electrical Engineering;Transformer T18;sk-bes-104-sip2.ad.ic.ac.uk_Device_33;Energy Consumption;kWh
Skempton;Transformer T19;sk-eyec-b-sip.ad.ic.ac.uk_Device_36;Energy Consumption;kWh
Skempton;Transformer T20;sk-eyec-b-sip.ad.ic.ac.uk_Device_51;Energy Consumption;kWh
Southside Hall;Transformer T21;sk-rsm-101-sip2.ad.ic.ac.uk_Device_18;Energy Consumption;kWh
City and Guilds;Transformer T22;sk-icsm-2-sip1.ad.ic.ac.uk_Device_76;Energy Consumption;kWh
City and Guilds;Transformer T23;sk-icsm-2-sip1.ad.ic.ac.uk_Device_121;Energy Consumption;kWh
City and Guilds;Transformer T24;sk-icsm-2-sip1.ad.ic.ac.uk_Device_91;Energy Consumption;kWh
Weeks Hall;Transformer T25;sk-icsm-2-sip1.ad.ic.ac.uk_Device_136;Energy Consumption;kWh
Sherfield;Transformer T31;sk-icsm-2-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Sherfield;Transformer T32;sk-icsm-2-sip1.ad.ic.ac.uk_Device_16;Energy Consumption;kWh
Huxley;Transformer T33;sk-icsm-2-sip1.ad.ic.ac.uk_Device_181;Energy Consumption;kWh
ACE;Transformer T34;sk-eyec-b-sip.ad.ic.ac.uk_Device_21;Energy Consumption;kWh
Chemistry 1 and 2;Transformer T37;sk-icsm-2-sip1.ad.ic.ac.uk_Device_196;Energy Consumption;kWh
Chemistry 1 and 2;Transformer T38;sk-icsm-2-sip1.ad.ic.ac.uk_Device_211;Energy Consumption;kWh
SAF;Transformer T40;sk-icsm-2-sip1.ad.ic.ac.uk_Device_31;Energy Consumption;kWh
SAF;Transformer T41;sk-icsm-2-sip1.ad.ic.ac.uk_Device_46;Energy Consumption;kWh
SAF;Transformer T42;sk-icsm-2-sip1.ad.ic.ac.uk_Device_61;Energy Consumption;kWh
Southside Hall;Transformer T45;sk-rsm-101-sip2.ad.ic.ac.uk_Device_33;Energy Consumption;kWh
RCS1;Transformer T46;sk-eyec-b-sip.ad.ic.ac.uk_Device_66;Energy Consumption;kWh
RCS1;Transformer T47;sk-eyec-b-sip.ad.ic.ac.uk_Device_81;Energy Consumption;kWh
Huxley;Transformer T7;sk-icsm-2-sip1.ad.ic.ac.uk_Device_166;Energy Consumption;kWh
Huxley;Transformer T8;sk-icsm-2-sip1.ad.ic.ac.uk_Device_151;Energy Consumption;kWh
City and Guilds;Transformer T9;sk-icsm-2-sip1.ad.ic.ac.uk_Device_106;Energy Consumption;kWh
South Kensington;CW014675 (Check);sk-mec-g-sip1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
South Kensington;CW014675 (Check);sk-mec-g-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Beit Quad;BEIT Quad LV Panel;sk-ace-102-sip2.ad.ic.ac.uk_Device_16;Energy Consumption;kWh
Beit Quad;Beit Quad MCCB 88;sk-ace-102-sip3.ad.ic.ac.uk_Device_14;Energy Consumption;kWh
Chemistry 1 and 2;Biochemistry Spare;sk-bio-101-sip1.ad.ic.ac.uk_Device_18;Energy Consumption;kWh
Blackett;Blackett Feeder No.1 (B1) ACB 109;sk-hux-101-sip1.ad.ic.ac.uk_Device_3;Energy Consumption;kWh
Blackett;Blackett Feeder No.2 (E3) ACB 105;sk-hux-101-sip2.ad.ic.ac.uk_Device_4;Energy Consumption;kWh
Blackett;Blackett Feeder No.3 (H1) ACB 117;sk-hux-101-sip2.ad.ic.ac.uk_Device_3;Energy Consumption;kWh
Blackett;Blackett Laser 019;sk-hux-101-sip2.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
Business School;Business School Chiller;sk-mec-102-sip2.ad.ic.ac.uk_Device_3;Energy Consumption;kWh
