SIT:<name>;MET:<name>;CHN:<channelID>;CHN:<TspDataType>;CHN:<unit>;
ACE;ACE MTHW;sk-ace-102-sip4.ad.ic.ac.uk_Device_2;Energy Consumption;kWh;
Bessemer;Bessemer MTHW;sk-bes-104-sip2.ad.ic.ac.uk_Device_2;Energy Consumption;kWh;
Bessemer;Bessemer MTHW;sk-bes-104-sip2.ad.ic.ac.uk_Device_6;Energy Consumption;kWh;
Business School;Business School MTHW;sk-tan-101-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh;
City and Guilds;CAGB DHWS;sk-mec-102-sip6.ad.ic.ac.uk_Device_25;Energy Consumption;kWh;
City and Guilds;CAGB DHWS;sk-ec-101-sip1.ad.ic.ac.uk_device_70;Energy Consumption;kWh;
City and Guilds;CAGB PHWS;sk-mec-102-sip6.ad.ic.ac.uk_Device_30;Energy Consumption;kWh;
City and Guilds;CAGB PHWS;sk-ec-101-sip1.ad.ic.ac.uk_device_69;Energy Consumption;kWh;
City and Guilds;City and Guilds SEQ 1&2;sk-ec-101-sip1.ad.ic.ac.uk_Device_21;Energy Consumption;kWh;
City and Guilds;City and Guilds AMP 3&4;sk-ec-101-sip1.ad.ic.ac.uk_Device_45;Energy Consumption;kWh;
Dyson SoE;Dyson MTHW;SK-DBDE-B-SIP3.ad.ic.ac.uk_Device_5;Energy Consumption;kWh;
Dyson SoE;Dyson MTHW;SK-DBDE-B-SIP3.ad.ic.ac.uk_Device_6;Energy Consumption;kWh;
Eastside Hall;Eastside MTHW;sk-est-102-sip1.ad.ic.ac.uk_Device_4;Energy Consumption;kWh;
Eastside Hall;Eastside MTHW;sk-est-102-sip1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh;
Electrical Engineering;Electrical Engineering MTHW;sk-ec-101-sip1.ad.ic.ac.uk_Device_16;Energy Consumption;kWh;
8-15 Princes Gardens (inc Garden Hall);Northside MTHW common;sk-nor-101-sip2.ad.ic.ac.uk_Device_7;Energy Consumption;kWh;
Faculty;Faculty Building MTHW;sk-ec-101-sip1.ad.ic.ac.uk_Device_18;Energy Consumption;kWh;
Huxley;Huxley MTHW;sk-hux-102-sip1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh;
Library;Library MTHW;sk-she-102-sip2.ad.ic.ac.uk_Device_2;Energy Consumption;kWh;
Energy Centre;MTHW north branch;sk-ec-101-sip1.ad.ic.ac.uk_Device_67;Energy Consumption;kWh;
8-15 Princes Gardens (inc Garden Hall);Northside MTHW common;sk-nor-101-sip2.ad.ic.ac.uk_Device_2;Energy Consumption;kWh;
8-15 Princes Gardens (inc Garden Hall);PG 8&9 heat meter;sk-eyec-b-sip.ad.ic.ac.uk_Device_1;Energy Consumption;kWh;
RCS1;RCS1 MTHW;SK-RCS-102-SIP1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh;
RSM;Royal School of Mines MTHW (roof);sk-rsm-101-sip2.ad.ic.ac.uk_Device_2;Energy Consumption;kWh;
RSM;Royal School of Mines MTHW (roof);sk-rsm-101-sip2.ad.ic.ac.uk_Device_6;Energy Consumption;kWh;
City and Guilds;City and Guilds SEQ 1&2;sk-mec-102-sip6.ad.ic.ac.uk_Device_3;Energy Consumption;kWh;
Bone and Roderic Hill;Roderic Hill MTHW;sk-ace-102-sip1.ad.ic.ac.uk_Device_43;Energy Consumption;kWh;
Bone and Roderic Hill;Roderic Hill MTHW;sk-ace-102-sip1.ad.ic.ac.uk_Device_7;Energy Consumption;kWh;
RSM;Royal School of Mines MTHW (basement);sk-ec-101-sip1.ad.ic.ac.uk_Device_22;Energy Consumption;kWh;
Sherfield;Sherfield MTHW;sk-she-101-sip2.ad.ic.ac.uk_Device_13;Energy Consumption;kWh;
Sherfield;Sherfield MTHW;sk-she-101-sip2.ad.ic.ac.uk_Device_1;Energy Consumption;kWh;
Skempton;Skempton MTHW (modbus);modbus://MODBUS/172.18.42.91:502/5/fbe/1/holding;Energy Consumption;kWh;
Skempton;Skempton MTHW;sk-ske-102-sip1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh;
Energy Centre;MTHW south branch;sk-ec-101-sip1.ad.ic.ac.uk_Device_68;Energy Consumption;kWh;
Southside Hall;Southside MTHW;sk-sou-102-sip1.ad.ic.ac.uk_Device_4;Energy Consumption;kWh;
Southside Hall;Southside MTHW;sk-sou-102-sip1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh;
Weeks Hall;MTHW Weeks Hall;sk-wk-b-103-sip.ad.ic.ac.uk_Device_3;Energy Consumption;kWh;
William Penney;William Penny LTHW;sk-she-101-sip2.ad.ic.ac.uk_Device_2;Energy Consumption;kWh;
